"target","2015","act","also","america","american","americans","can","care","country","ensure","every","families","federal","first","get","health","help","hillary","including","just","like","make","many","national","need","new","people","plan","president","state","states","support","time","will","work","years","back","bring","business","companies","donald","dont","end","even","government","great","immigration","interests","job","jobs","keep","leave","less","long","may","much","needs","now","number","one","order","pay","place","politicians","put","right","second","since","stop","tax","trade","trump","wall","want","washington","well","working","world","year"
"2. Trump",0,0,0,4,0,4,1,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,1,0,0,17,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,2,0,0,2,2,0,1,0,2,0,2,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1
"2. Trump",0,0,0,3,0,4,4,0,1,0,4,0,0,3,5,0,1,0,0,3,3,4,3,0,10,0,6,0,0,2,2,0,3,6,2,0,2,1,1,0,1,1,1,1,2,4,0,0,1,0,3,1,0,1,0,0,2,0,0,2,0,0,3,3,3,10,6,1,2,0,0,1,0,0,0,1,0,1,0
"2. Trump",0,0,0,3,0,4,4,0,1,0,4,0,0,3,6,0,1,0,0,3,3,4,3,0,10,0,6,0,1,2,2,0,3,6,2,0,2,1,1,0,2,1,1,1,2,4,1,0,1,0,3,1,0,1,1,0,2,0,0,2,0,1,3,3,3,10,7,1,3,1,1,2,1,0,0,1,0,1,0
"2. Trump",0,0,3,6,0,0,32,0,20,0,11,0,0,6,49,0,8,0,0,42,70,15,17,0,9,9,91,0,5,4,9,0,21,24,2,0,21,0,6,0,3,92,1,27,0,38,5,1,9,1,5,4,3,3,0,15,0,45,17,51,5,12,6,2,7,59,3,1,1,4,9,55,35,76,2,19,1,22,9
"2. Trump",0,0,2,4,0,0,2,0,4,0,4,0,0,0,6,0,0,0,0,12,0,4,7,0,0,1,24,1,2,2,1,0,5,9,1,0,6,1,3,0,0,9,1,4,0,14,0,1,1,3,0,0,1,0,1,11,0,4,6,6,0,5,3,2,2,8,7,1,0,0,4,36,10,14,3,11,3,3,1
"2. Trump",0,0,1,4,1,1,10,0,24,0,4,0,0,2,23,0,1,0,0,28,19,12,17,0,3,8,38,5,6,2,10,0,13,5,5,0,13,6,3,5,2,26,2,6,0,26,2,1,1,6,0,2,5,7,1,18,0,14,9,19,3,6,4,3,5,16,5,0,5,0,5,30,14,16,1,17,2,9,1
"2. Trump",0,0,5,7,4,10,2,0,0,0,1,0,0,1,3,0,3,0,0,1,0,3,4,0,0,9,1,20,0,0,0,0,1,25,2,0,0,1,11,5,2,1,3,0,1,2,0,5,3,5,6,1,2,1,0,1,2,2,3,6,1,6,1,1,1,1,0,3,0,59,0,13,0,1,1,3,2,6,0
"2. Trump",0,0,5,7,4,10,2,0,0,0,1,0,0,1,4,0,3,0,0,1,0,3,4,0,0,9,1,20,1,0,0,0,1,25,2,0,0,1,11,5,3,1,3,0,1,2,1,5,3,5,6,1,2,1,1,1,2,2,3,6,1,7,1,1,1,1,1,3,1,60,1,14,1,1,1,3,2,6,0
"2. Trump",0,0,12,20,12,8,13,0,14,0,3,0,0,13,4,0,6,0,0,7,5,12,11,0,10,16,11,3,25,2,16,0,13,68,3,0,3,4,1,4,10,7,3,13,2,14,4,10,1,6,1,3,2,4,5,7,3,9,0,14,0,2,6,1,5,3,1,1,1,1,10,15,1,5,2,2,2,25,1
"2. Trump",0,0,2,12,17,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,3,1,0,2,1,0,7,5,0,1,0,0,27,0,0,2,3,2,7,2,0,2,2,5,2,0,3,1,8,2,0,0,0,1,0,0,1,0,1,1,0,0,3,0,0,0,1,4,5,16,9,2,1,2,1,0,2,1
"2. Trump",0,0,2,1,0,1,5,0,2,0,1,0,0,0,5,0,5,0,0,3,0,4,3,0,6,3,0,17,2,3,0,0,2,27,0,0,0,1,1,1,3,1,1,0,0,3,1,0,2,3,2,1,0,1,1,0,8,1,2,0,0,1,0,3,2,2,1,0,3,1,1,21,1,1,3,0,2,0,1
